timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2022-08-23,21383.5,21673.0,20870.0,21512.5,33360.05248693,453908657.0,462411201.0,429231836.0,435744395.0,0.0066,0.01,-0.0277,-0.0062
2022-08-24,21512.5,21887.0,21133.5,21353.5,31096.03878903,435744395.0,451592070.0,429500888.0,448585018.0,-0.0062,0.01,-0.047,-0.008
2022-08-25,21353.5,21805.0,21294.0,21552.5,22726.34707331,448585018.0,457475689.0,440922368.0,450259102.0,-0.008,0.01,-0.0319,0.0014
2022-08-26,21552.5,21870.0,20094.5,20227.5,71484.11385245,450259102.0,465114235.0,442707627.0,452910444.0,0.0014,0.01,-0.0522,-0.0048
2022-08-27,20227.5,20367.0,19781.0,20026.5,29322.30916532,449922542.0,470241273.0,449088816.0,468756579.0,-0.0048,0.01,-0.0444,-0.0126
2022-08-28,20026.5,20158.5,19517.5,19550.5,28287.25045558,468756579.0,479623580.0,454920765.0,456916472.0,-0.0126,0.01,-0.0439,-0.009
2022-08-29,19550.5,20433.0,19549.5,20276.5,40102.83591894,447139772.0,451272897.0,431112522.0,440916401.0,-0.009,0.01,-0.026,-0.0076
2022-08-30,20276.5,20573.0,19513.0,19802.5,48127.75546304,440916401.0,471112662.0,436185357.0,439585322.0,-0.0076,0.01,-0.0154,0.0034
2022-08-31,19802.5,20480.0,19794.0,20041.0,39767.56297909,439585322.0,450488208.0,422293145.0,426167584.0,0.0034,0.01,-0.0228,0.006
2022-09-01,20041.0,20195.0,19550.5,20123.0,44446.34512017,426167584.0,454051198.0,414713991.0,433590595.0,0.006,0.01,-0.0204,-0.0008
2022-09-02,20123.0,20428.0,19737.5,19941.5,42494.20757906,433590595.0,456464156.0,429349801.0,443355022.0,-0.0008,0.01,-0.0133,-0.003
2022-09-03,19941.5,20043.5,19642.0,19821.0,18020.60868433,443355022.0,462682602.0,442497420.0,458971680.0,-0.003,0.01,-0.0195,0.0071
2022-09-04,19821.0,20018.0,19579.0,19995.5,23493.64529821,458971680.0,473614072.0,452668438.0,452954270.0,0.0071,0.01,-0.0079,0.0
2022-09-05,19995.5,20049.0,19626.0,19784.5,23514.80669448,452954270.0,472640521.0,449998545.0,468125903.0,0.0,0.01,-0.0088,0.0051
2022-09-06,19784.5,20176.0,18625.5,18775.5,65842.49914241,468125903.0,488569382.0,457373531.0,461477602.0,0.0051,0.01,-0.0096,0.0082
2022-09-07,18775.5,19460.0,18461.0,19286.0,38345.30815217,461477602.0,468774843.0,440837473.0,441003927.0,0.0082,0.01,-0.0267,0.0004
2022-09-08,19286.0,19450.0,19003.0,19308.0,33753.77723266,441003927.0,458497879.0,439867632.0,442724146.0,0.0004,0.01,-0.0216,0.0034
2022-09-09,19308.0,21665.0,19286.0,21361.5,66625.91112407,442724146.0,464048890.0,424103854.0,446833202.0,0.0034,0.01,-0.009,0.0023
2022-09-10,21361.5,21804.0,21112.0,21641.0,25771.35970194,446833202.0,461297834.0,440751865.0,456581923.0,0.0023,0.01,-0.0139,0.0031
2022-09-11,21641.0,21865.5,21352.0,21827.5,24999.17684943,456581923.0,456581923.0,438073768.0,451676714.0,0.0031,0.01,-0.0198,0.004
2022-09-12,21827.5,22494.0,21531.0,22393.5,49220.06375416,451676714.0,465196762.0,427418566.0,461984921.0,0.004,0.01,0.0013,0.0087
2022-09-13,22393.5,22810.5,19825.0,20157.0,85611.13519825,461984921.0,469537393.0,422003518.0,439337617.0,0.0087,0.01,-0.0331,0.0018
2022-09-14,20157.0,20527.0,19600.5,20220.5,37376.61407358,439337617.0,452140020.0,428884162.0,445840099.0,0.0018,0.01,-0.0335,-0.008
2022-09-15,20220.5,20331.0,19471.5,19693.5,40657.04665525,445840099.0,460545641.0,433829079.0,445265515.0,-0.008,0.01,-0.028,-0.0005
2022-09-16,19693.5,19876.0,19300.0,19786.5,28471.11484815,445265515.0,452670960.0,440262997.0,444628514.0,-0.0005,0.01,-0.0343,0.0041
